#{"t_start": 1613144544.4046159}
r,l,t
-0.03628235,32.0,46.12022304534912
0.0027927256,32.0,169.5434513092041
0.09751699,32.0,284.8362600803375
-0.03890469,32.0,389.2150559425354
0.3711963,32.0,491.41337728500366
0.45235977,32.0,594.917809009552
0.4632727,32.0,696.74147772789
0.6813948,32.0,798.7959191799164
0.62915695,32.0,900.9487936496735
0.93986696,32.0,1002.9782798290253
0.73452395,32.0,1105.2663724422455
1.2554146,32.0,1207.2540256977081
1.0817431,32.0,1309.0329840183258
1.2525367,32.0,1411.2320718765259
1.3607199,32.0,1513.1056189537048
1.5835814,32.0,1614.123509645462
1.5921967,32.0,1715.6417808532715
1.6936722,32.0,1815.3328037261963
1.8860451,32.0,1915.0093233585358
2.0731466,32.0,2016.3040390014648
2.169817,32.0,2118.3959238529205
2.1986299,32.0,2219.664915561676
2.306206,32.0,2325.1760227680206
2.4102824,32.0,2425.1937415599823
2.4227636,32.0,2527.8589432239532
2.4250727,32.0,2629.085183620453
2.5569992,32.0,2730.3380608558655
2.5566592,32.0,2832.616807460785
2.6806803,32.0,2931.528601169586
2.5287697,32.0,3032.1119248867035
2.5463326,32.0,3133.1128845214844
2.6803205,32.0,3232.421133995056
2.6727476,32.0,3331.586968898773
2.603379,32.0,3427.507160425186
2.5687873,32.0,3526.4031386375427
2.6486804,32.0,3627.6893107891083
2.6541462,32.0,3727.465818166733
2.6694558,32.0,3828.5703184604645
2.641266,32.0,3929.7582869529724
2.6182,32.0,4026.8763930797577
2.6008978,32.0,4128.164566278458
2.6122417,32.0,4230.659672021866
2.5800495,32.0,4331.781003236771
2.558613,32.0,4432.666516542435
2.5088828,32.0,4531.502930402756
2.5504737,32.0,4633.825628042221
2.5277243,32.0,4735.770791530609
2.516465,32.0,4837.621614694595
2.4693367,32.0,4944.449296951294
2.4688885,32.0,5047.979274511337
2.4457023,32.0,5148.740124940872
2.4656425,32.0,5251.184432506561
2.4439526,32.0,5352.536185026169
2.4478526,32.0,5454.099884748459
2.428505,32.0,5550.133466959
2.4154687,32.0,5650.5469653606415
2.3992875,32.0,5752.129194974899
2.3898885,32.0,5853.541894197464
2.3649497,32.0,5954.723286628723
2.363705,32.0,6053.308545351028
2.3354003,32.0,6154.851543426514
2.335223,32.0,6256.467958688736
2.3302913,32.0,6355.462476491928
2.310818,32.0,6454.125953674316
2.302972,32.0,6555.376670598984
2.2911055,32.0,6653.879018783569
2.2755144,32.0,6756.28441119194
2.268824,32.0,6857.3235330581665
2.25448,32.0,6957.512555360794
2.2720137,32.0,7059.993865728378
2.2536285,32.0,7159.4638957977295
2.2389107,32.0,7257.934460639954
2.2422686,32.0,7358.311861276627
2.2095318,32.0,7457.718520641327
2.21738,32.0,7555.661691665649
2.1961422,32.0,7656.760153055191
2.1956837,32.0,7755.945245981216
2.190503,32.0,7858.14519071579
2.1823814,32.0,7958.1932826042175
2.179582,32.0,8054.776274442673
2.163958,32.0,8158.690588474274
2.1581783,32.0,8262.32663488388
2.1412506,32.0,8363.392334222794
2.144019,32.0,8463.598387479782
2.122674,32.0,8561.1736805439
2.1153193,32.0,8661.501496553421
2.1071713,32.0,8760.693979263306
2.1089613,32.0,8860.461385726929
2.0946984,32.0,8961.477811098099
2.0866272,32.0,9060.320364236832
2.0785663,32.0,9159.565217494965
2.0682142,32.0,9258.928989171982
2.055202,32.0,9360.509779930115
2.0387914,32.0,9462.128423929214
2.0382845,32.0,9560.634029626846
2.0299232,32.0,9661.058964252472
2.009275,32.0,9762.06282377243
2.0160825,32.0,9862.426045417786
2.0185537,32.0,9964.922473192215
1.9884686,32.0,10064.344125270844
1.9813138,32.0,10162.501300573349
1.9782176,32.0,10264.869350671768
1.9862939,32.0,10366.725695848465
1.9665024,32.0,10468.325347423553
1.9393092,32.0,10569.540507793427
1.9413469,32.0,10671.678188800812
1.9419205,32.0,10772.662165164948
1.9257773,32.0,10875.437663793564
#{"t_start": 1613155686.958302}
r,l,t
#{"t_start": 1613156183.748744}
r,l,t
#{"t_start": 1613156235.2853873}
r,l,t
#{"t_start": 1613156271.559995}
r,l,t
#{"t_start": 1613156400.8845518}
r,l,t
