#{"t_start": 1613222802.8017235}
r,l,t
-0.34504986,32.0,12.191760540008545
-0.022316603,32.0,24.496290683746338
-0.40285465,32.0,36.79489493370056
0.089843854,32.0,48.74239921569824
0.19683675,32.0,60.66195058822632
0.21146938,32.0,72.64576888084412
-0.3844203,32.0,84.80882596969604
-0.3042178,32.0,96.37431859970093
0.40117913,32.0,108.33412957191467
0.07969942,32.0,120.65023684501648
-0.55184156,32.0,132.430584192276
-0.26517156,32.0,144.57638883590698
0.19257376,32.0,156.79733157157898
0.15186615,32.0,169.2667956352234
-0.12459182,32.0,181.43725895881653
0.42099667,32.0,193.68897533416748
0.5111642,32.0,205.8492431640625
0.71997803,32.0,218.13324332237244
0.22592089,32.0,230.15915203094482
0.49628228,32.0,242.13505172729492
0.69508225,32.0,254.05251336097717
0.9180345,32.0,265.8433287143707
0.63676316,32.0,277.8095655441284
0.61388546,32.0,289.9985499382019
0.77726865,32.0,302.3488235473633
0.82368904,32.0,314.13733315467834
1.2526917,32.0,325.52031803131104
0.530286,32.0,337.7115681171417
1.0523242,32.0,349.32179594039917
1.1881489,32.0,361.47037172317505
1.5284332,32.0,372.92681336402893
1.5655086,32.0,384.19103479385376
1.2302817,32.0,396.24571323394775
1.2705315,32.0,408.29769921302795
1.874184,32.0,420.4850788116455
1.3980932,32.0,432.53485107421875
1.831863,32.0,444.4769604206085
1.5685897,32.0,456.58229637145996
2.0617478,32.0,468.63109278678894
1.8514676,32.0,480.7780110836029
2.11989,32.0,492.9142746925354
2.1056354,32.0,505.3965790271759
2.0057647,32.0,517.7576394081116
2.0329428,32.0,528.8410792350769
2.1481354,32.0,540.8108253479004
2.064936,32.0,552.8100337982178
2.1834295,32.0,565.7152457237244
2.4125025,32.0,577.8351218700409
2.2148652,32.0,590.2180318832397
2.4760685,32.0,602.7068135738373
2.1883695,32.0,615.2356991767883
2.269137,32.0,626.9025144577026
2.4942176,32.0,639.3995306491852
2.3675606,32.0,651.9858067035675
2.3831654,32.0,663.980001449585
2.4786422,32.0,676.3458817005157
2.2301443,32.0,688.8630082607269
2.1830304,32.0,701.5875532627106
2.4696376,32.0,714.0199790000916
2.599338,32.0,726.4386496543884
2.4660008,32.0,738.7953455448151
2.490808,32.0,751.3286032676697
2.675454,32.0,762.7505342960358
2.593625,32.0,774.9024679660797
2.7338376,32.0,787.3135857582092
2.7589686,32.0,799.3735105991364
2.7065716,32.0,811.4723675251007
2.5136552,32.0,824.0775675773621
2.6693146,32.0,837.5480828285217
2.5581858,32.0,850.6698977947235
2.707112,32.0,863.4304509162903
2.6272957,32.0,874.6398351192474
2.551691,32.0,886.3234584331512
2.6615448,32.0,898.6159946918488
2.773553,32.0,911.3138604164124
2.6850083,32.0,924.4128963947296
2.6534784,32.0,936.4173276424408
2.6284869,32.0,948.3327522277832
2.561169,32.0,960.3073313236237
2.7395937,32.0,972.1619837284088
2.6870093,32.0,984.27441239357
2.6495664,32.0,996.6396582126617
2.6439614,32.0,1008.7999594211578
2.7164745,32.0,1020.9312853813171
2.7315161,32.0,1032.9636993408203
2.682045,32.0,1045.0430734157562
2.6355972,32.0,1057.0497410297394
2.6100526,32.0,1069.0310189723969
2.7071862,32.0,1080.7903349399567
2.592048,32.0,1092.6629083156586
2.6006906,32.0,1105.138769865036
2.6903698,32.0,1117.5185647010803
2.453157,32.0,1129.776404619217
2.6552322,32.0,1141.0558393001556
2.6699543,32.0,1153.1515398025513
2.6099458,32.0,1165.0934064388275
2.65474,32.0,1177.1157734394073
2.6128314,32.0,1189.146376132965
2.5573454,32.0,1200.252090215683
2.5818605,32.0,1211.5063934326172
2.0278788,32.0,9.55986499786377
2.392305,32.0,21.668265342712402
2.4073784,32.0,33.7574348449707
2.539671,32.0,46.324156761169434
2.5700436,32.0,59.165345191955566
2.5644727,32.0,71.26778745651245
2.4877822,32.0,83.03584027290344
2.514794,32.0,94.96514630317688
2.547285,32.0,106.85057544708252
2.3138053,32.0,118.78047251701355
2.6220496,32.0,130.7718424797058
2.434674,32.0,142.6522228717804
2.6127584,32.0,154.60254526138306
2.586548,32.0,166.4215624332428
2.5713098,32.0,178.22683787345886
