#{"t_start": 1614252691.418022}
r,l,t,rew_unnormalized,forces
-0.8588431,32.0,9.734105587005615,-257414.78,1128.4204
-0.10022798,32.0,22.457618951797485,-272125.6,1149.8523
-0.40147296,32.0,34.845786333084106,-298322.66,1171.6279
0.34598082,32.0,47.62293839454651,-245726.0,1115.9489
0.025620118,32.0,59.86447358131409,-265944.75,1134.1528
-0.23029633,32.0,72.67689538002014,-285913.75,1144.3785
0.2683056,32.0,84.86494135856628,-250421.6,1135.9752
0.022554094,32.0,97.40017247200012,-265568.22,1139.4355
0.05058079,32.0,110.19297933578491,-262759.94,1139.1187
0.22642967,32.0,122.50621485710144,-250048.45,1138.9465
0.053249884,32.0,134.161306142807,-260413.58,1141.1742
-0.00802248,32.0,146.80620288848877,-264102.88,1156.225
0.42280015,32.0,159.14292287826538,-235171.05,1133.2404
-0.0041746283,32.0,171.46057534217834,-262483.75,1147.2482
0.40778485,32.0,184.04008412361145,-234917.6,1118.7167
0.011902108,32.0,196.71937346458435,-259803.95,1134.3364
0.6307295,32.0,209.30202722549438,-218421.22,1102.3956
0.16410738,32.0,221.89171028137207,-247435.9,1143.0093
-0.057753716,32.0,234.93303751945496,-261416.2,1144.9672
0.26589793,32.0,248.1787452697754,-240482.06,1138.6252
1.0072755,32.0,260.60071301460266,-190836.05,1076.2599
0.74616796,32.0,273.11049151420593,-204893.81,1102.1248
0.6568815,32.0,286.2110023498535,-209049.98,1107.9357
1.0175605,32.0,298.93650555610657,-184869.8,1081.0778
1.215158,32.0,311.4607467651367,-170672.84,1082.7457
1.0169661,32.0,324.20437574386597,-180460.95,1079.5698
1.5166712,32.0,336.7908673286438,-148351.84,1052.2009
1.5547811,32.0,349.1586072444916,-143127.66,1055.2557
1.5790118,32.0,361.76138401031494,-139642.78,1050.7043
1.7720094,32.0,374.2642569541931,-126202.4,1041.0259
1.7188888,32.0,386.8666658401489,-126515.5,1040.7239
1.7102976,32.0,399.54545044898987,-125158.22,1038.7173
1.961633,32.0,412.366064786911,-108633.18,1016.7891
1.9747342,32.0,425.33178424835205,-105792.91,1018.01086
1.9575813,32.0,437.744038105011,-104639.24,1026.954
1.9882948,32.0,450.3196105957031,-101191.42,1021.7068
2.3106635,32.0,463.2723972797394,-81420.625,1010.3926
1.8957651,32.0,475.9573001861572,-101867.6,1034.5525
2.3850472,32.0,488.6746735572815,-74159.98,1014.238
2.1833024,32.0,501.96020007133484,-82970.3,1016.3719
