#{"t_start": 1611072861.059411, "env_id": "burger-v106"}
r,l,t
-0.120427,32,1.688145
-0.106712,32,1.863835
-0.089744,32,2.037776
-0.13551,32,2.21191
-0.101621,32,2.385241
-0.250884,32,2.558414
-0.025429,32,2.731661
-0.184788,32,2.905059
-0.085174,32,3.078899
-0.173434,32,3.252814
-0.186891,32,3.427051
-0.215079,32,3.600409
-0.050355,32,3.774165
-0.338906,32,3.947435
-0.021363,32,4.120978
-0.171323,32,4.295679
-0.045641,32,4.469437
-0.187499,32,4.642666
-0.186667,32,4.816345
-0.090739,32,4.991059
-0.270031,32,5.165154
-0.089101,32,5.338253
-0.134878,32,5.511519
-0.074312,32,5.68484
-0.067425,32,5.858696
-0.070356,32,6.032391
-0.219038,32,6.207731
-0.040625,32,6.381183
-0.14576,32,6.557627
-0.321863,32,6.731083
-0.087783,32,6.904609
-0.091455,32,7.078122
-0.223202,32,7.252089
-0.051784,32,7.425314
-0.130673,32,7.600931
-0.067594,32,7.774953
-0.454624,32,7.948743
-0.203372,32,8.123455
-0.10208,32,8.307009
-0.069921,32,8.483328
-0.294005,32,8.658157
-0.119093,32,8.834284
-0.012028,32,9.00947
-0.12484,32,9.183579
-0.077178,32,9.361181
-0.041816,32,9.535067
-0.069872,32,9.708915
-0.175869,32,9.884037
-0.075871,32,10.058789
-0.084095,32,10.232841
-0.084627,32,10.407668
-0.201206,32,10.581789
-0.272671,32,10.755455
-0.108476,32,10.929347
-0.137525,32,11.102763
-0.066654,32,11.277623
-0.227206,32,11.451282
-0.029623,32,11.624473
-0.193828,32,11.797986
-0.048357,32,11.971785
-0.135117,32,12.144871
-0.089158,32,12.318764
-0.131031,32,12.492419
-0.155556,32,12.66533
-0.019395,32,14.20314
-0.102254,32,14.379554
-0.085856,32,14.553098
-0.127878,32,14.726872
-0.230222,32,14.900123
-0.162605,32,15.073781
-0.110721,32,15.246196
-0.058677,32,15.421404
-0.13943,32,15.596147
-0.071364,32,15.77037
-0.099851,32,15.944034
-0.218888,32,16.117764
-0.170681,32,16.291695
-0.161476,32,16.465042
-0.072902,32,16.639021
-0.125896,32,16.825059
-0.106632,32,17.011898
-0.016226,32,17.197067
-0.163127,32,17.381167
-0.052062,32,17.564919
-0.057647,32,17.742108
-0.179096,32,17.919577
-0.011499,32,18.096725
-0.10141,32,18.274447
-0.178506,32,18.447844
-0.072384,32,18.619994
-0.036926,32,18.792284
-0.233901,32,18.964385
-0.131028,32,19.136319
-0.075186,32,19.30834
-0.26878,32,19.480052
-0.114336,32,19.651919
-0.203483,32,19.82411
-0.372041,32,20.00354
-0.069266,32,20.17806
-0.158982,32,20.352711
-0.199901,32,20.527119
