#{"t_start": 1615205539.1109385}
r,l,t,rew_unnormalized,forces
-1.1664015,32.0,23.929790258407593,-262386.9,1139.7827
-0.04543831,32.0,36.922160387039185,-252175.05,1129.9657
-0.40557536,32.0,49.807302474975586,-280260.38,1153.6537
-0.028540704,32.0,63.01290678977966,-260710.19,1140.9979
0.2599811,32.0,75.05658435821533,-244175.62,1127.8761
-0.26762715,32.0,87.52643895149231,-280016.1,1155.5055
-0.22596359,32.0,99.17194867134094,-278989.66,1152.4761
-0.16950199,32.0,111.17603659629822,-277863.34,1156.0585
0.5508466,32.0,123.6668541431427,-228044.28,1120.086
0.36544892,32.0,136.20712327957153,-237376.2,1127.4551
0.095238,32.0,148.17297887802124,-252972.4,1130.6333
-0.020206504,32.0,159.91677141189575,-260901.12,1138.6156
-0.7179531,32.0,172.07696294784546,-306956.75,1189.5858
0.52725023,32.0,184.66572403907776,-227198.73,1104.9154
-1.1011089,32.0,197.04667830467224,-333805.6,1202.2742
-0.99436206,32.0,209.39749956130981,-332670.3,1205.3751
0.41661373,32.0,222.20141863822937,-241424.27,1135.7146
0.10617845,32.0,234.55785036087036,-260239.9,1141.7056
0.6568661,32.0,247.10084438323975,-223195.22,1118.4246
0.12994923,32.0,259.5355145931244,-256472.48,1147.8063
0.090771504,32.0,271.95149755477905,-258192.0,1151.225
0.17198429,32.0,284.51414680480957,-253087.31,1150.7667
-0.4366488,32.0,296.9429144859314,-292877.62,1167.1315
0.47573707,32.0,309.48914408683777,-233767.5,1122.7849
0.30063036,32.0,321.57095074653625,-243890.1,1139.888
-0.19744135,32.0,333.93462014198303,-276442.53,1171.6088
0.5010949,32.0,346.2914595603943,-230247.6,1126.9357
0.3522867,32.0,358.6350107192993,-239120.06,1133.8983
-0.20653206,32.0,371.22016167640686,-275039.1,1165.3745
-0.43473867,32.0,383.73426699638367,-290598.03,1184.562
0.8539677,32.0,396.0546724796295,-206906.9,1105.0986
-0.37214863,32.0,408.38101291656494,-284853.25,1178.8293
-0.046354074,32.0,420.9466133117676,-264541.12,1164.9039
0.4657582,32.0,433.4096610546112,-231657.4,1120.8145
0.388331,32.0,445.3990635871887,-235749.7,1142.4805
0.07129529,32.0,457.7788727283478,-255893.19,1156.1772
-0.1070149,32.0,470.33475136756897,-267360.6,1169.1865
-0.07831842,32.0,482.6622369289398,-265025.62,1162.9335
0.49043924,32.0,495.102169752121,-228441.86,1136.3586
0.36121583,32.0,507.4614782333374,-236351.64,1139.1915
0.21204504,32.0,519.7333862781525,-245266.4,1151.9423
0.53007925,32.0,532.1419780254364,-224661.34,1128.8868
0.986588,32.0,544.6145725250244,-194902.72,1105.8059
0.2879944,32.0,556.9657716751099,-237985.38,1144.2314
0.803231,32.0,568.7518904209137,-204920.02,1109.1572
1.3771018,32.0,581.3795483112335,-167990.9,1087.4457
0.8135002,32.0,593.7492642402649,-201626.14,1107.7301
0.9181039,32.0,606.1862890720367,-194472.12,1097.2908
