#{"t_start": 1615294169.1251836}
r,l,t,rew_unnormalized,forces
-1.0305471,32.0,81.44142460823059,-287467.5,1163.7473
-0.33093837,32.0,94.19654154777527,-312358.25,1176.8171
0.27435872,32.0,107.2717444896698,-273914.5,1144.2583
-0.022865761,32.0,119.95202469825745,-294224.88,1161.3837
0.40263984,32.0,131.89308714866638,-254782.73,1129.7256
0.3049445,32.0,144.38105392456055,-261271.1,1135.5261
-0.25432098,32.0,157.0419647693634,-296919.44,1162.4872
-0.28542295,32.0,169.5844440460205,-303844.4,1171.2653
0.24146876,32.0,181.89952063560486,-267087.62,1144.47
0.35279596,32.0,194.11260890960693,-256559.66,1143.9769
0.7826064,32.0,207.04706811904907,-225426.64,1102.5682
1.1440222,32.0,220.01130032539368,-195077.02,1090.3832
0.3062341,32.0,232.32203078269958,-247529.3,1136.4167
-0.12556237,32.0,245.01500821113586,-275129.38,1153.8875
1.0785317,32.0,257.7214539051056,-195276.0,1082.0135
0.5857046,32.0,270.29424595832825,-223870.44,1121.5845
0.941776,32.0,283.0064513683319,-199000.95,1093.339
1.169523,32.0,295.6596357822418,-180539.94,1072.015
1.3213675,32.0,308.82388854026794,-168071.64,1059.8436
0.6069734,32.0,321.60000801086426,-209970.16,1111.9609
1.1555287,32.0,335.4509332180023,-174083.6,1077.9459
1.1634396,32.0,348.60231351852417,-171203.77,1071.6737
1.5317961,32.0,361.838259935379,-146077.19,1055.9736
1.2263618,32.0,374.86794877052307,-162309.16,1071.1171
1.4202905,32.0,386.779212474823,-148336.67,1059.1173
2.1376512,32.0,399.74554920196533,-104426.63,1006.9077
1.6085743,32.0,412.4905502796173,-131506.06,1036.5121
1.7773181,32.0,425.4703812599182,-120043.82,1040.4534
1.7688951,32.0,438.2456085681915,-117708.73,1036.0398
1.8072318,32.0,451.02118015289307,-113769.47,1028.0522
1.9993421,32.0,463.72678208351135,-101284.03,1023.81726
2.5839586,32.0,476.7666451931,-67922.03,972.73096
1.6547153,32.0,489.89730739593506,-114626.67,1040.441
2.3290265,32.0,502.3070275783539,-77601.66,1004.5274
1.9917675,32.0,515.2127346992493,-92753.19,1033.3676
2.3235257,32.0,527.5915064811707,-74175.66,1005.65857
1.8559402,32.0,540.7803771495819,-95873.01,1053.4402
2.624052,32.0,553.6605260372162,-56008.15,977.6957
2.3351028,32.0,567.0692880153656,-68216.55,1005.22577
2.3689854,32.0,579.5862469673157,-65013.887,1006.5976
2.2838182,32.0,591.5937402248383,-67573.984,1029.5342
2.6843536,32.0,603.2253074645996,-46884.363,985.8462
2.3847578,32.0,615.6210179328918,-59404.15,1013.61237
2.4088485,32.0,628.0980086326599,-56863.23,1009.2672
2.4582968,32.0,640.6925942897797,-53228.375,1025.0416
2.438228,32.0,653.2423717975616,-52729.37,1003.3873
2.4744532,32.0,665.5974161624908,-49781.523,1016.3031
2.633705,32.0,677.9477334022522,-41416.613,994.67847
2.6195288,32.0,690.3060321807861,-40669.4,1004.47687
2.7864552,32.0,702.6112892627716,-32130.252,975.2657
