#{"t_start": 1628346448.522618}
r,l,t,rew_unnormalized,forces
-1.1526258,32.0,6.42765998840332,-318631.0,1190.7965
0.6279675,32.0,16.96203374862671,-248183.7,1134.6835
0.45480064,32.0,27.518489122390747,-245626.45,1130.7169
0.30084434,32.0,38.29869055747986,-246287.52,1129.5006
0.20844172,32.0,49.37748312950134,-245316.48,1130.2175
0.02689834,32.0,59.97582674026489,-257320.98,1139.8219
-0.25400835,32.0,71.01986241340637,-278971.66,1150.4945
-0.3299059,32.0,81.96067428588867,-283935.44,1152.271
-0.26202726,32.0,92.83407592773438,-282921.6,1158.0393
-1.124422,32.0,6.3779616355896,-255250.9,1146.629
-0.7990625,32.0,17.223233222961426,-311027.8,1181.9656
0.31465474,32.0,27.908809185028076,-258315.19,1130.7305
-0.5586303,32.0,39.11131763458252,-313883.75,1186.0563
0.39402565,32.0,49.765591621398926,-252644.38,1121.4504
-0.2527105,32.0,60.569600343704224,-294926.1,1166.006
0.060842413,32.0,71.04511833190918,-274567.88,1144.5377
0.24386379,32.0,81.9887375831604,-260098.19,1139.2468
0.43372837,32.0,92.89533305168152,-245004.38,1121.625
0.12905808,32.0,103.02722501754761,-264338.22,1131.6978
0.2184464,32.0,113.76659154891968,-256254.55,1142.095
0.12818153,32.0,124.27139449119568,-262454.25,1138.8152
-0.44292817,32.0,134.8763473033905,-300869.72,1177.1295
0.3271147,32.0,145.7508327960968,-250036.27,1133.1483
-0.2462633,32.0,156.38228750228882,-287997.12,1161.7961
0.64231634,32.0,167.2397906780243,-227776.62,1113.5769
0.3250019,32.0,178.13116192817688,-248158.64,1122.9445
0.34369338,32.0,188.83284878730774,-244439.64,1134.3053
0.42201942,32.0,199.3662028312683,-238525.05,1117.7191
0.558594,32.0,210.3144679069519,-227716.77,1115.4214
0.3074056,32.0,220.94530725479126,-242675.69,1132.0494
0.31789342,32.0,231.56965827941895,-241863.06,1132.571
1.0496697,32.0,242.43642354011536,-192582.66,1083.2432
0.43499947,32.0,253.11540031433105,-230408.94,1126.3835
0.7656112,32.0,263.7272262573242,-207602.19,1103.3164
1.2669736,32.0,274.3721532821655,-174297.52,1075.6617
0.7436393,32.0,284.81310415267944,-205072.72,1098.79
1.2435919,32.0,295.32162261009216,-172370.94,1074.823
0.96673083,32.0,305.8542501926422,-187112.02,1090.9224
1.2969273,32.0,316.5030372142792,-165171.31,1068.6995
0.9859822,32.0,326.95067167282104,-182515.81,1101.339
0.8600616,32.0,336.913378238678,-188801.34,1097.3517
0.8612879,32.0,347.70459151268005,-187482.3,1097.9037
1.7849989,32.0,358.8964545726776,-130724.05,1039.3864
1.4987682,32.0,369.62849617004395,-145761.31,1066.2002
1.9101177,32.0,380.07375955581665,-119774.91,1037.9952
1.8283638,32.0,390.6537754535675,-122478.77,1049.1091
2.3642528,32.0,401.39148235321045,-90132.69,993.49664
1.6540984,32.0,412.08185863494873,-128302.65,1060.9078
1.6371336,32.0,422.75470876693726,-127795.25,1056.4215
1.7835555,32.0,433.45825147628784,-118098.95,1044.0908
1.9619194,32.0,444.02656412124634,-106702.45,1035.8577
1.720013,32.0,454.7405331134796,-118225.93,1054.3147
2.0405476,32.0,465.54961228370667,-99451.78,1024.3186
2.0455732,32.0,476.49877762794495,-97554.43,1037.2178
1.982011,32.0,487.2826509475708,-99528.69,1035.3617
2.1709821,32.0,498.08158254623413,-88158.81,1020.9026
1.9865716,32.0,508.77519059181213,-96238.41,1035.6826
2.2876241,32.0,519.6424174308777,-79287.98,1009.2525
2.2587833,32.0,530.4578261375427,-79365.9,1019.74097
2.0843768,32.0,541.4736177921295,-86963.52,1034.8219
2.2552361,32.0,552.0994696617126,-77053.45,1026.4357
2.387482,32.0,562.7576019763947,-69175.62,1006.40625
2.3744264,32.0,573.5299386978149,-68631.64,1025.2104
2.4112105,32.0,584.101479768753,-65502.0,1018.46204
2.535728,32.0,594.609169960022,-58134.414,1015.6467
2.7888389,32.0,605.0029573440552,-44607.496,982.78394
2.6828954,32.0,615.5428636074066,-48467.61,1004.34033
2.6766205,32.0,626.1581110954285,-47534.105,1001.73315
2.8235412,32.0,636.6324188709259,-39446.523,988.1694
2.6761217,32.0,647.5708601474762,-45198.98,1005.3497
2.6102593,32.0,658.3552083969116,-47169.184,1019.7221
2.9139075,32.0,669.0212380886078,-32086.365,979.7562
2.8695874,32.0,679.9819624423981,-32994.996,986.1399
2.8718026,32.0,690.813637971878,-31827.012,996.99194
2.8309946,32.0,701.5473515987396,-32592.57,1004.03265
2.7750976,32.0,712.584715127945,-34120.0,1004.2356
2.7703364,32.0,723.2092089653015,-33428.426,1019.7316
2.9121609,32.0,733.8835031986237,-26155.744,981.09906
2.8798084,32.0,744.7832939624786,-26652.176,1013.5136
2.868815,32.0,755.4269707202911,-26185.363,1006.0204
2.959246,32.0,766.1582255363464,-21342.3,977.09216
2.91449,32.0,776.979688167572,-22368.045,974.25214
2.8893533,32.0,787.7368018627167,-22567.998,997.2201
2.8893516,32.0,798.2293908596039,-21725.672,988.3816
2.8966813,32.0,809.0367758274078,-20564.713,993.6172
2.8052752,32.0,819.2526063919067,-23608.883,1014.9861
2.848728,32.0,830.0926311016083,-21017.475,1005.3427
2.9389591,32.0,840.9256274700165,-16497.69,972.949
2.8344092,32.0,851.5601513385773,-20031.977,991.06213
2.825273,32.0,862.4555180072784,-19671.305,1007.6579
2.8325944,32.0,873.1324687004089,-18637.016,982.3782
2.814407,32.0,883.7746586799622,-18672.383,988.40265
2.7982123,32.0,894.4224245548248,-18612.36,1012.6686
2.8246598,32.0,905.095986366272,-16875.79,987.4519
2.7857773,32.0,915.9337890148163,-17768.99,1010.64514
2.859848,32.0,926.5465364456177,-14186.92,969.61835
2.7908509,32.0,937.3788480758667,-16231.651,979.86743
2.8067193,32.0,947.2752208709717,-14994.997,967.1182
2.7676208,32.0,957.3424808979034,-15891.67,998.89984
2.704615,32.0,968.0718584060669,-17722.754,1001.83026
2.7952392,32.0,979.0008463859558,-13661.066,975.7682
2.727691,32.0,989.8430669307709,-15637.733,992.9051
2.6757014,32.0,1000.5266711711884,-17069.633,1002.8047
2.7206244,32.0,1011.304539680481,-14813.01,1005.8139
