#{"t_start": 1616163425.286022}
r,l,t,rew_unnormalized,forces
-0.72167295,32.0,10.296870231628418,-287899.25,1164.4761
0.008123274,32.0,21.96495509147644,-284517.44,1156.9114
0.42607224,32.0,34.13695549964905,-245096.42,1110.4902
0.39637077,32.0,46.098434925079346,-237053.02,1110.9406
0.11618079,32.0,58.53658699989319,-252406.64,1142.2167
-0.111658685,32.0,70.5650110244751,-268724.97,1154.7058
0.33950135,32.0,82.85007739067078,-239531.3,1114.6422
-0.02350792,32.0,94.96701264381409,-259997.5,1145.3777
-0.55520266,32.0,107.18349838256836,-297732.97,1183.27
0.29210067,32.0,119.44622254371643,-243050.1,1129.179
0.5263248,32.0,131.45360469818115,-224441.44,1116.0248
0.64036036,32.0,143.4870502948761,-214701.27,1103.9884
0.67963064,32.0,155.58190655708313,-209543.08,1099.4469
0.5680971,32.0,167.4326729774475,-214210.69,1108.7766
0.6836364,32.0,179.34929394721985,-205676.7,1106.6008
0.4909426,32.0,191.14633750915527,-214912.77,1121.0164
0.8159517,32.0,203.02166628837585,-192428.02,1097.3632
0.90212923,32.0,215.01723790168762,-184816.45,1092.209
1.0239036,32.0,226.4594542980194,-175675.31,1082.6765
1.2249118,32.0,237.471289396286,-160667.16,1080.8557
0.6770285,32.0,248.9459743499756,-190073.14,1107.562
1.0493263,32.0,261.0546760559082,-167425.72,1092.0854
1.2291064,32.0,272.8841712474823,-154709.77,1079.7203
1.6617479,32.0,284.631712436676,-128646.6,1044.5635
1.4382764,32.0,296.80237102508545,-138319.69,1067.6143
1.0050457,32.0,308.65610790252686,-159869.52,1098.1854
2.0017524,32.0,321.00808668136597,-104384.46,1026.8221
1.522836,32.0,333.1168649196625,-127448.04,1062.1145
1.6977459,32.0,344.90891695022583,-116299.0,1058.2368
1.7675034,32.0,357.1671712398529,-110745.16,1042.7782
1.5840347,32.0,368.88741064071655,-118267.65,1054.3572
1.9105638,32.0,380.55565905570984,-99679.38,1032.6823
2.0682824,32.0,392.4151518344879,-89916.27,1024.5261
2.277674,32.0,404.3503625392914,-77832.195,1001.34283
1.9647619,32.0,416.1875240802765,-91157.32,1041.6648
2.3299632,32.0,429.08838295936584,-71759.23,1003.11584
2.0790033,32.0,441.42881512641907,-81915.58,1029.3018
2.330796,32.0,453.25807428359985,-68460.24,1011.4719
2.043048,32.0,465.83739852905273,-80310.24,1037.1935
1.9013234,32.0,477.6596851348877,-85463.36,1048.692
2.3265522,32.0,490.08873462677,-64669.145,1013.6574
2.0945907,32.0,503.0243091583252,-73827.31,1033.1482
2.2709048,32.0,515.013011932373,-64517.86,1032.4064
2.5353262,32.0,527.1318686008453,-51469.434,1006.32086
2.444604,32.0,539.0972468852997,-53991.613,1011.9852
2.7633393,32.0,550.5296456813812,-38695.99,992.30347
2.7411718,32.0,562.640299320221,-38337.965,978.5489
2.5590942,32.0,574.5944240093231,-44740.04,1004.9799
2.6228914,32.0,586.6618392467499,-40915.414,997.68585
2.6183894,32.0,598.4873404502869,-39923.746,1012.5455
2.5704074,32.0,610.5421483516693,-40707.793,1019.0291
2.4038856,32.0,622.6460464000702,-46550.53,1029.0446
2.7394462,32.0,634.6875371932983,-31770.543,997.05347
2.6169043,32.0,646.4852557182312,-35592.37,1018.81335
2.7798808,32.0,658.2226791381836,-28121.484,992.5
2.6453335,32.0,670.1048974990845,-32463.652,997.59784
2.6138089,32.0,681.996416091919,-32686.07,1031.8334
2.6493168,32.0,693.8158142566681,-30374.803,1021.2356
2.6390285,32.0,705.6100809574127,-29831.297,1002.8162
2.5201173,32.0,717.3926827907562,-33512.562,1026.4979
2.6601489,32.0,729.2805681228638,-27317.49,994.3353
2.6953034,32.0,741.1268658638,-25189.982,997.0011
2.5658202,32.0,752.2792510986328,-29185.432,1020.5438
2.5347414,32.0,764.3232033252716,-29589.59,1025.6681
2.5600004,32.0,775.9959738254547,-27864.365,1018.24634
2.5535698,32.0,788.0559170246124,-27359.484,1023.5239
2.509356,32.0,800.136177778244,-28228.662,1001.4945
2.5847635,32.0,812.066567659378,-24824.482,1016.8271
2.4972038,32.0,824.2506523132324,-27245.926,1015.5955
2.62478,32.0,836.2741577625275,-22083.613,1002.3343
2.4823344,32.0,847.9470834732056,-26401.814,1016.9221
2.4983768,32.0,859.7018179893494,-25226.418,1010.54193
2.4495273,32.0,870.7322430610657,-26312.16,1019.71643
2.5381815,32.0,881.7959432601929,-22617.682,1014.55853
2.5408957,32.0,892.8867630958557,-21942.244,977.35
2.5270548,32.0,904.5283679962158,-21819.62,1007.0323
2.5044904,32.0,916.5584154129028,-22013.908,995.2736
2.4491053,32.0,928.5172057151794,-23320.328,1017.2508
2.5045664,32.0,940.4941635131836,-20908.352,992.9084
2.3964944,32.0,951.7273964881897,-23965.29,1023.3683
2.4460049,32.0,963.2038097381592,-21824.967,1034.9573
2.4347181,32.0,975.4942076206207,-21689.002,1020.64
2.559606,32.0,987.5072257518768,-17119.293,976.7966
2.549421,32.0,999.5775485038757,-16930.836,987.1142
2.4596822,32.0,1011.7319376468658,-19349.818,999.94525
2.5185854,32.0,1023.9559373855591,-16952.451,966.5408
2.4145422,32.0,1036.2397747039795,-19832.531,985.54376
