#{"t_start": 1614779964.431239}
r,l,t,rew_unnormalized,forces
-0.5329501,32.0,6.273557901382446,-240994.58,1124.5936
-0.33276424,32.0,19.03107261657715,-260825.36,1141.5793
-0.14782025,32.0,31.636247873306274,-260373.4,1137.5651
0.180107,32.0,44.301958084106445,-238483.52,1131.0728
-0.7088224,32.0,56.674455404281616,-299681.7,1172.4652
0.10831219,32.0,68.68126845359802,-249631.34,1128.9698
-0.47496825,32.0,81.50591921806335,-289492.03,1163.2992
0.41174287,32.0,93.97470092773438,-233930.22,1107.9547
-0.44393122,32.0,106.66656517982483,-290582.2,1155.2117
-0.06509754,32.0,119.13454508781433,-266526.62,1139.4364
0.38381928,32.0,131.38945698738098,-236591.73,1127.2404
-1.0233605,32.0,144.31292510032654,-330991.06,1199.0406
-0.19796966,32.0,156.9113199710846,-279595.5,1152.592
0.008808393,32.0,169.88975739479065,-267091.0,1138.1699
-0.41382357,32.0,182.2247610092163,-294898.03,1170.1086
-0.2891409,32.0,194.5683238506317,-288149.16,1170.1095
-0.4683738,32.0,207.1024603843689,-302167.88,1173.2231
-0.2785402,32.0,219.52659034729004,-290910.16,1168.5292
0.3659243,32.0,231.83963203430176,-247829.77,1120.2607
-0.27533883,32.0,243.77767729759216,-290169.9,1164.9126
0.5956826,32.0,255.91767120361328,-231601.08,1116.8334
-0.07470474,32.0,268.57079124450684,-276344.0,1161.858
0.22341157,32.0,280.98910093307495,-255304.62,1135.1837
0.2912608,32.0,293.5302619934082,-250341.64,1134.4684
0.31343758,32.0,306.12865710258484,-247828.14,1140.856
0.10531084,32.0,318.6676561832428,-261909.08,1151.9111
0.68767375,32.0,330.9029140472412,-222068.66,1116.5061
0.84936404,32.0,343.40670132637024,-209757.58,1114.2709
0.79024065,32.0,355.8253448009491,-212371.88,1113.3318
1.0703138,32.0,368.0696427822113,-192408.66,1091.3024
1.213708,32.0,380.4724154472351,-180954.69,1075.751
1.115697,32.0,392.8872244358063,-185562.58,1082.3722
1.0510437,32.0,405.71601462364197,-187621.64,1088.9119
1.1347115,32.0,418.10464000701904,-180740.06,1083.8319
0.9062898,32.0,430.4984097480774,-193860.94,1115.9095
0.97520906,32.0,442.9679651260376,-188227.64,1101.7584
1.0159746,32.0,455.44984436035156,-184330.14,1094.4119
1.2989857,32.0,468.00338077545166,-165473.28,1082.5304
0.85884017,32.0,480.2016496658325,-190939.1,1107.0298
1.2736914,32.0,492.81042528152466,-164611.47,1082.5632
1.4978272,32.0,505.4615490436554,-149513.55,1065.729
1.4707304,32.0,517.8780188560486,-149584.62,1074.0358
1.3900323,32.0,530.4055066108704,-152965.5,1083.5541
2.258228,32.0,542.7449026107788,-100117.61,1026.7194
1.7679582,32.0,555.4736511707306,-127107.94,1054.8043
1.8745869,32.0,567.9598915576935,-119466.07,1043.3894
2.3901367,32.0,580.5025248527527,-88133.56,1015.12494
1.9595473,32.0,593.2294278144836,-111124.59,1052.4254
2.1359599,32.0,605.7812602519989,-99631.92,1037.9575
2.2392123,32.0,618.0844972133636,-92309.85,1032.3779
2.4436865,32.0,630.399019241333,-79438.97,1005.7826
2.1611032,32.0,642.1343021392822,-93523.38,1028.9706
2.0290525,32.0,653.5804159641266,-99468.78,1040.4921
2.1267614,32.0,665.0585114955902,-92857.28,1029.7242
2.4033692,32.0,677.0565876960754,-76602.01,1026.1031
2.1576939,32.0,689.6037497520447,-88410.11,1028.5626
2.412889,32.0,702.7773432731628,-73612.37,1023.83954
2.6228755,32.0,716.054854631424,-61140.48,1011.3486
2.341526,32.0,728.4688980579376,-74679.31,1035.174
2.404375,32.0,741.4964590072632,-70196.13,1027.6577
2.6067135,32.0,754.6722841262817,-58594.73,1006.05023
2.5800922,32.0,766.8873813152313,-58800.965,1019.6714
2.7387168,32.0,779.1308681964874,-49544.906,1005.573
2.6526947,32.0,791.5422847270966,-52724.06,1015.11224
2.5018284,32.0,804.1607432365417,-59194.746,1026.4624
2.8240638,32.0,816.8539705276489,-42061.684,989.74835
2.7205381,32.0,830.0561850070953,-46044.4,1002.6088
2.641896,32.0,843.1914498806,-48909.965,1005.27545
2.5629106,32.0,856.4157321453094,-51763.246,1010.68646
2.680009,32.0,869.0771913528442,-45141.785,996.05585
